"id","name","electoralAreaId","districtId","deleted","createdAt","updatedAt"
161,KWARTEMAN,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
162,NIITSRUMAN,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
163,KOTOKU ZONGO,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
164,KOTOKU MARKET,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
165,KORLE AGBEI,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
166,QUARTERS,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
167,AMERICAN DOWN,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
168,MILLENIUM CITY,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
169,KOOKPORME,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
170,KINGSBY,19,16,0,2023-05-23 09:39:28.380,2023-05-23 09:39:28.380
171,AZUMAH NELSON,19,16,0,2023-05-23 09:39:28.380,2023-05-23 09:39:28.380
172,MILE 7,19,16,0,2023-05-23 09:39:28.380,2023-05-23 09:39:28.380
173,TROBU,19,16,0,2023-05-23 09:39:28.380,2023-05-23 09:39:28.380
174,ALHAJI,20,16,0,2023-05-23 09:39:44.950,2023-05-23 09:39:44.950
175,FENANDO PO,20,16,0,2023-05-23 09:39:44.950,2023-05-23 09:39:44.950
176,FISH POND,20,16,0,2023-05-23 09:39:44.950,2023-05-23 09:39:44.950
177,TANTRA HILL,21,16,0,2023-05-23 09:39:53.811,2023-05-23 09:39:53.811
178,MILE 7,21,16,0,2023-05-23 09:39:53.811,2023-05-23 09:39:53.811
179,GOLDEN DOOR,21,16,0,2023-05-23 09:39:53.811,2023-05-23 09:39:53.811
180,MOOSE,21,16,0,2023-05-23 09:39:53.811,2023-05-23 09:39:53.811
181,SEVEN DAYS,22,16,0,2023-05-23 09:40:05.315,2023-05-23 09:40:05.315
182,OFANKOR OLD TOWN,22,16,0,2023-05-23 09:40:05.315,2023-05-23 09:40:05.315
183,ATTA MILLS JUNCTION,22,16,0,2023-05-23 09:40:05.315,2023-05-23 09:40:05.315
184,AMALIA,22,16,0,2023-05-23 09:40:05.315,2023-05-23 09:40:05.315
185,AGYA HERBAL,22,16,0,2023-05-23 09:40:05.315,2023-05-23 09:40:05.315
186,OFANKOR HILLS ESTATE,23,16,0,2023-05-23 09:40:16.095,2023-05-23 09:40:16.095
187,OFANKOR HILLS,23,16,0,2023-05-23 09:40:16.095,2023-05-23 09:40:16.095
188,OFANKOR,23,16,0,2023-05-23 09:40:16.095,2023-05-23 09:40:16.095
189,TIMBER MARKET,23,16,0,2023-05-23 09:40:16.095,2023-05-23 09:40:16.095
190,JOHN TEYE,23,16,0,2023-05-23 09:40:16.095,2023-05-23 09:40:16.095
191,POST OFFICE,23,16,0,2023-05-23 09:40:16.095,2023-05-23 09:40:16.095
192,ASOFAN,24,16,0,2023-05-23 09:40:24.245,2023-05-23 09:40:24.245
193,NEW ASOFAN,24,16,0,2023-05-23 09:40:24.245,2023-05-23 09:40:24.245
194,ASOFAN NEWTOWN,24,16,0,2023-05-23 09:40:24.245,2023-05-23 09:40:24.245
195,ABOGYESE JUCTION,24,16,0,2023-05-23 09:40:24.245,2023-05-23 09:40:24.245
196,DWENEWOHO,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
197,OMANJOR,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
198,VRA,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
199,MENSAH ADDO,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
200,FUNMILK,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
201,MAMBO,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
202,AMEN AMEN,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
203,CAPITAL HILL,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
204,BLOCK FACTORY,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
205,OLEBU JUNCTION,25,16,0,2023-05-23 09:40:34.046,2023-05-23 09:40:34.046
206,OSHUMAN,26,16,0,2023-05-23 09:40:42.680,2023-05-23 09:40:42.680
207,CANADA,26,16,0,2023-05-23 09:40:42.680,2023-05-23 09:40:42.680
208,PAA SOLO JUNCTION,26,16,0,2023-05-23 09:40:42.680,2023-05-23 09:40:42.680
209,AMAMORLEY,26,16,0,2023-05-23 09:40:42.680,2023-05-23 09:40:42.680
210,AYAWASO,27,16,0,2023-05-23 09:40:51.781,2023-05-23 09:40:51.781
211,NII AYI,27,16,0,2023-05-23 09:40:51.781,2023-05-23 09:40:51.781
212,AMPEX AREA,27,16,0,2023-05-23 09:40:51.781,2023-05-23 09:40:51.781
213,ATIATO,27,16,0,2023-05-23 09:40:51.781,2023-05-23 09:40:51.781
214,POKUASE,28,16,0,2023-05-23 09:41:01.413,2023-05-23 09:41:01.413
215,ABEHENEASE,28,16,0,2023-05-23 09:41:01.413,2023-05-23 09:41:01.413
216,BRODOKOPE,28,16,0,2023-05-23 09:41:01.413,2023-05-23 09:41:01.413
217,POKUASE DJAMAN,28,16,0,2023-05-23 09:41:01.413,2023-05-23 09:41:01.413
218,TEACHERKOPE,28,16,0,2023-05-23 09:41:01.413,2023-05-23 09:41:01.413
219,ACP,28,16,0,2023-05-23 09:41:01.413,2023-05-23 09:41:01.413
220,DOMEABRA,28,16,0,2023-05-23 09:41:01.413,2023-05-23 09:41:01.413
221,FESTUS,28,16,0,2023-05-23 09:41:01.413,2023-05-23 09:41:01.413
222,AMANFROM,29,16,0,2023-05-23 09:41:11.077,2023-05-23 09:41:11.077
223,ODUMASE,29,16,0,2023-05-23 09:41:11.077,2023-05-23 09:41:11.077
224,FESTUS BUS STOP,29,16,0,2023-05-23 09:41:11.077,2023-05-23 09:41:11.077
225,ABEHENEASE,30,16,0,2023-05-23 09:41:22.062,2023-05-23 09:41:22.062
226,ICGC,30,16,0,2023-05-23 09:41:22.062,2023-05-23 09:41:22.062
227,COCOA BOARD,30,16,0,2023-05-23 09:41:22.062,2023-05-23 09:41:22.062
228,THREE JUNCTION,30,16,0,2023-05-23 09:41:22.062,2023-05-23 09:41:22.062
229,FISE,30,16,0,2023-05-23 09:41:22.062,2023-05-23 09:41:22.062
230,DOBLO,30,16,0,2023-05-23 09:41:22.062,2023-05-23 09:41:22.062
231,ABENSU QUARTERS,31,16,0,2023-05-23 09:41:29.976,2023-05-23 09:41:29.976
232,ABENSU TIGOPOLE,31,16,0,2023-05-23 09:41:29.976,2023-05-23 09:41:29.976
233,ABESEY,31,16,0,2023-05-23 09:41:29.976,2023-05-23 09:41:29.976
234,KATAPOR JUNCTION,31,16,0,2023-05-23 09:41:29.976,2023-05-23 09:41:29.976
235,FAASE,31,16,0,2023-05-23 09:41:29.976,2023-05-23 09:41:29.976
236,BAWOMIA BODY GUARD,31,16,0,2023-05-23 09:41:29.976,2023-05-23 09:41:29.976
237,AGRIC QUARTERS,31,16,0,2023-05-23 09:41:29.976,2023-05-23 09:41:29.976
238,AFIAMAN,32,16,0,2023-05-23 09:41:37.945,2023-05-23 09:41:37.945
239,STADIUM JUNCTION,32,16,0,2023-05-23 09:41:37.945,2023-05-23 09:41:37.945
240,ANYWAY,32,16,0,2023-05-23 09:41:37.945,2023-05-23 09:41:37.945
241,AFIAMAN NORTH,32,16,0,2023-05-23 09:41:37.945,2023-05-23 09:41:37.945
242,DJAMAN,34,29,0,2023-05-25 14:28:30.936,2023-05-25 14:28:30.936
363,ADAA MAAMI,71,2,0,2023-05-25 15:43:26.647,2023-05-25 15:43:26.647
364,BAAHYARD,71,2,0,2023-05-25 15:43:26.647,2023-05-25 15:43:26.647
365,MANGOASE,71,2,0,2023-05-25 15:43:26.647,2023-05-25 15:43:26.647
366,STATION,71,2,0,2023-05-25 15:43:26.647,2023-05-25 15:43:26.647
367,WATER WORKS,71,2,0,2023-05-25 15:43:26.647,2023-05-25 15:43:26.647
247,GBAWE-ZERO,35,29,0,2023-05-25 14:34:37.140,2023-05-25 14:34:37.140
248,BULEMIN,35,29,0,2023-05-25 14:34:37.140,2023-05-25 14:34:37.140
249,BULEMIN LAST STOP,35,29,0,2023-05-25 14:34:37.140,2023-05-25 14:34:37.140
250,GBAWE,36,29,0,2023-05-25 14:36:17.049,2023-05-25 14:36:17.049
251,TOP BASE,36,29,0,2023-05-25 14:36:17.049,2023-05-25 14:36:17.049
252,JOMA,37,29,0,2023-05-25 14:37:18.468,2023-05-25 14:37:18.468
253,AGAPE,37,29,0,2023-05-25 14:37:18.468,2023-05-25 14:37:18.468
254,GONSE,37,29,0,2023-05-25 14:37:18.468,2023-05-25 14:37:18.468
255,AGBIZOME,37,29,0,2023-05-25 14:37:18.468,2023-05-25 14:37:18.468
256,MALLAM,38,29,0,2023-05-25 14:37:41.679,2023-05-25 14:37:41.679
257,MALLAM JUNCTION,38,29,0,2023-05-25 14:37:41.679,2023-05-25 14:37:41.679
258,KOKROKO,38,29,0,2023-05-25 14:37:41.679,2023-05-25 14:37:41.679
368,BEEN TO,71,2,0,2023-05-25 15:43:26.647,2023-05-25 15:43:26.647
369,KWASHIEBU,71,2,0,2023-05-25 15:43:26.647,2023-05-25 15:43:26.647
261,BORLA ROAD,39,29,0,2023-05-25 15:27:57.932,2023-05-25 15:27:57.932
