name,districtId,createdAt,updatedAt
Atico,4,11/26/2022 13:16,11/26/2022 13:16
Bishop Bowers,4,11/26/2022 13:16,11/26/2022 13:16
Kofi Okoo Road,4,11/26/2022 13:16,11/26/2022 13:16
Kofi Oku road,4,11/26/2022 13:16,11/26/2022 13:16
Ayidiki,4,11/26/2022 13:16,11/26/2022 13:16
RUSSIA - LOSSO PARK AREA,4,11/26/2022 13:16,11/26/2022 13:16
James Town,4,11/26/2022 13:16,11/26/2022 13:16
Kpetenkple,4,11/26/2022 13:16,11/26/2022 13:16
korle wuko,4,11/26/2022 13:16,11/26/2022 13:16
Peace Clinic,4,11/26/2022 13:16,11/26/2022 13:16
EBONY,4,11/26/2022 13:16,11/26/2022 13:16
Agbado,4,11/26/2022 13:16,11/26/2022 13:16
Sempe,4,11/26/2022 13:16,11/26/2022 13:16
Ameley Larye road,4,11/26/2022 13:16,11/26/2022 13:16
Kantamanto Kokompe,4,11/26/2022 13:16,11/26/2022 13:16
Mataheko,4,11/26/2022 13:16,11/26/2022 13:16
Swallaba,4,11/26/2022 13:16,11/26/2022 13:16
swallba,4,11/26/2022 13:16,11/26/2022 13:16
Ocquaye road,4,11/26/2022 13:16,11/26/2022 13:16
Mantse BOI Street,4,11/26/2022 13:16,11/26/2022 13:16
Quansah,4,11/26/2022 13:16,11/26/2022 13:16
Quasah,4,11/26/2022 13:16,11/26/2022 13:16
Soko,4,11/26/2022 13:16,11/26/2022 13:16
Zongo,4,11/26/2022 13:16,11/26/2022 13:16
Bruce road,4,11/26/2022 13:16,11/26/2022 13:16
Ayaalolo,4,11/26/2022 13:16,11/26/2022 13:16
Aayalolo road,4,11/26/2022 13:16,11/26/2022 13:16
Asere,4,11/26/2022 13:16,11/26/2022 13:16
gbese,4,11/26/2022 13:16,11/26/2022 13:16
Asene,4,11/26/2022 13:16,11/26/2022 13:16
Palledium,4,11/26/2022 13:16,11/26/2022 13:16
Alajo,4,11/26/2022 13:16,11/26/2022 13:16
Abossey Okai,4,11/26/2022 13:16,11/26/2022 13:16
ATCC,4,11/26/2022 13:16,11/26/2022 13:16
RUSSIA,4,11/26/2022 13:16,11/26/2022 13:16
White House,4,11/26/2022 13:16,11/26/2022 13:16
Adenunoo Road,4,11/26/2022 13:16,11/26/2022 13:16
parllidum,4,11/26/2022 13:16,11/26/2022 13:16
Hansen road,4,11/26/2022 13:16,11/26/2022 13:16
Hanson road,4,11/26/2022 13:16,11/26/2022 13:16
Korle Workor,4,11/26/2022 13:16,11/26/2022 13:16
Sukura,4,11/26/2022 13:16,11/26/2022 13:16
AAfio Larteley close,4,11/26/2022 13:16,11/26/2022 13:16
Official Town,4,11/26/2022 13:16,11/26/2022 13:16
Arena,4,11/26/2022 13:16,11/26/2022 13:16
POLO PARK,4,11/26/2022 13:16,11/26/2022 13:16
commercial bank,4,11/26/2022 13:16,11/26/2022 13:16
Adwenbu,4,11/26/2022 13:16,11/26/2022 13:16
Ebony down,4,11/26/2022 13:16,11/26/2022 13:16
Korle worko,4,11/26/2022 13:16,11/26/2022 13:16
Lapaz Station,4,11/26/2022 13:16,11/26/2022 13:16
KANESHIE WELFARE,4,11/26/2022 13:16,11/26/2022 13:16
Lapaz 6,4,11/26/2022 13:16,11/26/2022 13:16
Roman area,4,11/26/2022 13:16,11/26/2022 13:16
NKRUMAH FLAT,4,11/26/2022 13:16,11/26/2022 13:16
